♦6, ♥J, ♣10, ♠2, ♥6 | pair
♠8, ♥6, ♦6, ♥Q, ♦2 | pair
♠8, ♥6, ♦6, ♥Q, ♥8 | two pairs
♠8, ♥6, ♦6, ♥7, ♥10 | pair
♠8, ♥6, ♦6, ♥7, ♦5 | pair
♠8, ♥6, ♦6, ♥7, ♣7 | two pairs
♠8, ♥6, ♦6, ♥7, ♦2 | pair
♠8, ♥6, ♦6, ♥7, ♥8 | two pairs
♠8, ♥6, ♦6, ♥10, ♦5 | pair
♠8, ♥6, ♦6, ♥10, ♣7 | pair
♠8, ♥6, ♦6, ♥10, ♦2 | pair
♠8, ♥6, ♦6, ♥10, ♥8 | two pairs
♠8, ♥6, ♦6, ♦5, ♣7 | pair
♠8, ♥6, ♦6, ♦5, ♦2 | pair
♠8, ♥6, ♦6, ♦5, ♥8 | two pairs
♠8, ♥6, ♦6, ♣7, ♦2 | pair
♠8, ♥6, ♦6, ♣7, ♥8 | two pairs
♠8, ♥6, ♦6, ♦2, ♥8 | two pairs
♠8, ♥6, ♥Q, ♥7, ♣7 | pair
♠8, ♥6, ♥Q, ♥7, ♥8 | pair
♠8, ♥6, ♥Q, ♥10, ♥8 | pair
♠8, ♥6, ♥Q, ♦5, ♥8 | pair
♠8, ♥6, ♥Q, ♣7, ♥8 | pair
♠8, ♥6, ♥Q, ♦2, ♥8 | pair
♠8, ♥6, ♥7, ♥10, ♣7 | pair
♠8, ♥6, ♥7, ♥10, ♥8 | pair
♠8, ♥6, ♥7, ♦5, ♣7 | pair
♠8, ♥6, ♥7, ♦5, ♥8 | pair
♠8, ♥6, ♥7, ♣7, ♦2 | pair
♠8, ♥6, ♥7, ♣7, ♥8 | two pairs
♠8, ♥6, ♥7, ♦2, ♥8 | pair
♠8, ♥6, ♥10, ♦5, ♥8 | pair
♠8, ♥6, ♥10, ♣7, ♥8 | pair
♠8, ♥6, ♥10, ♦2, ♥8 | pair
♠8, ♥6, ♦5, ♣7, ♥8 | pair
♠8, ♥6, ♦5, ♦2, ♥8 | pair
♠8, ♥6, ♣7, ♦2, ♥8 | pair
♠8, ♦6, ♥Q, ♥7, ♣7 | pair
♠8, ♦6, ♥Q, ♥7, ♥8 | pair
♠8, ♦6, ♥Q, ♥10, ♥8 | pair
♠8, ♦6, ♥Q, ♦5, ♥8 | pair
♠8, ♦6, ♥Q, ♣7, ♥8 | pair
♠8, ♦6, ♥Q, ♦2, ♥8 | pair
♠8, ♦6, ♥7, ♥10, ♣7 | pair
♠8, ♦6, ♥7, ♥10, ♥8 | pair
♠8, ♦6, ♥7, ♦5, ♣7 | pair
♠8, ♦6, ♥7, ♦5, ♥8 | pair
♠8, ♦6, ♥7, ♣7, ♦2 | pair
♠8, ♦6, ♥7, ♣7, ♥8 | two pairs
♠8, ♦6, ♥7, ♦2, ♥8 | pair
♠8, ♦6, ♥10, ♦5, ♥8 | pair
♠8, ♦6, ♥10, ♣7, ♥8 | pair
♠8, ♦6, ♥10, ♦2, ♥8 | pair
♠8, ♦6, ♦5, ♣7, ♥8 | pair
♠8, ♦6, ♦5, ♦2, ♥8 | pair
♠8, ♦6, ♣7, ♦2, ♥8 | pair
♠8, ♥Q, ♥7, ♥10, ♣7 | pair
♠8, ♥Q, ♥7, ♥10, ♥8 | pair
♠8, ♥Q, ♥7, ♦5, ♣7 | pair
♠8, ♥Q, ♥7, ♦5, ♥8 | pair
♠8, ♥Q, ♥7, ♣7, ♦2 | pair
♠8, ♥Q, ♥7, ♣7, ♥8 | two pairs
♠8, ♥Q, ♥7, ♦2, ♥8 | pair
♠8, ♥Q, ♥10, ♦5, ♥8 | pair
♠8, ♥Q, ♥10, ♣7, ♥8 | pair
♠8, ♥Q, ♥10, ♦2, ♥8 | pair
♠8, ♥Q, ♦5, ♣7, ♥8 | pair
♠8, ♥Q, ♦5, ♦2, ♥8 | pair
♠8, ♥Q, ♣7, ♦2, ♥8 | pair
♠8, ♥7, ♥10, ♦5, ♣7 | pair
♠8, ♥7, ♥10, ♦5, ♥8 | pair
♠8, ♥7, ♥10, ♣7, ♦2 | pair
♠8, ♥7, ♥10, ♣7, ♥8 | two pairs
♠8, ♥7, ♥10, ♦2, ♥8 | pair
♠8, ♥7, ♦5, ♣7, ♦2 | pair
♠8, ♥7, ♦5, ♣7, ♥8 | two pairs
♠8, ♥7, ♦5, ♦2, ♥8 | pair
♠8, ♥7, ♣7, ♦2, ♥8 | two pairs
♠8, ♥10, ♦5, ♣7, ♥8 | pair
♠8, ♥10, ♦5, ♦2, ♥8 | pair
♠8, ♥10, ♣7, ♦2, ♥8 | pair
♠8, ♦5, ♣7, ♦2, ♥8 | pair
♥K, ♦A, ♥6, ♦6, ♥Q | pair
♥K, ♦A, ♥6, ♦6, ♥7 | pair
♥K, ♦A, ♥6, ♦6, ♥10 | pair
♥K, ♦A, ♥6, ♦6, ♦5 | pair
♥K, ♦A, ♥6, ♦6, ♣7 | pair
♥K, ♦A, ♥6, ♦6, ♦2 | pair
♥K, ♦A, ♥6, ♦6, ♥8 | pair
♥K, ♦A, ♥6, ♥7, ♣7 | pair
♥K, ♦A, ♦6, ♥7, ♣7 | pair
♥K, ♦A, ♥Q, ♥7, ♣7 | pair
♥K, ♦A, ♥7, ♥10, ♣7 | pair
♥K, ♦A, ♥7, ♦5, ♣7 | pair
♥K, ♦A, ♥7, ♣7, ♦2 | pair
♥K, ♦A, ♥7, ♣7, ♥8 | pair
♥K, ♥6, ♦6, ♥Q, ♥7 | pair
♥K, ♥6, ♦6, ♥Q, ♥10 | pair
♥K, ♥6, ♦6, ♥Q, ♦5 | pair
♥K, ♥6, ♦6, ♥Q, ♣7 | pair
♥K, ♥6, ♦6, ♥Q, ♦2 | pair
♥K, ♥6, ♦6, ♥Q, ♥8 | pair
♥K, ♥6, ♦6, ♥7, ♥10 | pair
♥K, ♥6, ♦6, ♥7, ♦5 | pair
♥K, ♥6, ♦6, ♥7, ♣7 | two pairs
♥K, ♥6, ♦6, ♥7, ♦2 | pair
♥K, ♥6, ♦6, ♥7, ♥8 | pair
♥K, ♥6, ♦6, ♥10, ♦5 | pair
♥K, ♥6, ♦6, ♥10, ♣7 | pair
♥K, ♥6, ♦6, ♥10, ♦2 | pair
♥K, ♥6, ♦6, ♥10, ♥8 | pair
♥K, ♥6, ♦6, ♦5, ♣7 | pair
♥K, ♥6, ♦6, ♦5, ♦2 | pair
♥K, ♥6, ♦6, ♦5, ♥8 | pair
♥K, ♥6, ♦6, ♣7, ♦2 | pair
♥K, ♥6, ♦6, ♣7, ♥8 | pair
♥K, ♥6, ♦6, ♦2, ♥8 | pair
♥K, ♥6, ♥Q, ♥7, ♥10 | flush
♥K, ♥6, ♥Q, ♥7, ♣7 | pair
♥K, ♥6, ♥Q, ♥7, ♥8 | flush
♥K, ♥6, ♥Q, ♥10, ♥8 | flush
♥K, ♥6, ♥7, ♥10, ♣7 | pair
♥K, ♥6, ♥7, ♥10, ♥8 | flush
♥K, ♥6, ♥7, ♦5, ♣7 | pair
♥K, ♥6, ♥7, ♣7, ♦2 | pair
♥K, ♥6, ♥7, ♣7, ♥8 | pair
♥K, ♦6, ♥Q, ♥7, ♣7 | pair
♥K, ♦6, ♥7, ♥10, ♣7 | pair
♥K, ♦6, ♥7, ♦5, ♣7 | pair
♥K, ♦6, ♥7, ♣7, ♦2 | pair
♥K, ♦6, ♥7, ♣7, ♥8 | pair
♥K, ♥Q, ♥7, ♥10, ♣7 | pair
♥K, ♥Q, ♥7, ♥10, ♥8 | flush
♥K, ♥Q, ♥7, ♦5, ♣7 | pair
♥K, ♥Q, ♥7, ♣7, ♦2 | pair
♥K, ♥Q, ♥7, ♣7, ♥8 | pair
♥K, ♥7, ♥10, ♦5, ♣7 | pair
♥K, ♥7, ♥10, ♣7, ♦2 | pair
♥K, ♥7, ♥10, ♣7, ♥8 | pair
♥K, ♥7, ♦5, ♣7, ♦2 | pair
♥K, ♥7, ♦5, ♣7, ♥8 | pair
♥K, ♥7, ♣7, ♦2, ♥8 | pair
♦A, ♥6, ♦6, ♥Q, ♥7 | pair
♦A, ♥6, ♦6, ♥Q, ♥10 | pair
♦A, ♥6, ♦6, ♥Q, ♦5 | pair
♦A, ♥6, ♦6, ♥Q, ♣7 | pair
♦A, ♥6, ♦6, ♥Q, ♦2 | pair
♦A, ♥6, ♦6, ♥Q, ♥8 | pair
♦A, ♥6, ♦6, ♥7, ♥10 | pair
♦A, ♥6, ♦6, ♥7, ♦5 | pair
♦A, ♥6, ♦6, ♥7, ♣7 | two pairs
♦A, ♥6, ♦6, ♥7, ♦2 | pair
♦A, ♥6, ♦6, ♥7, ♥8 | pair
♦A, ♥6, ♦6, ♥10, ♦5 | pair
♦A, ♥6, ♦6, ♥10, ♣7 | pair
♦A, ♥6, ♦6, ♥10, ♦2 | pair
♦A, ♥6, ♦6, ♥10, ♥8 | pair
♦A, ♥6, ♦6, ♦5, ♣7 | pair
♦A, ♥6, ♦6, ♦5, ♦2 | pair
♦A, ♥6, ♦6, ♦5, ♥8 | pair
♦A, ♥6, ♦6, ♣7, ♦2 | pair
♦A, ♥6, ♦6, ♣7, ♥8 | pair
♦A, ♥6, ♦6, ♦2, ♥8 | pair
♦A, ♥6, ♥Q, ♥7, ♣7 | pair
♦A, ♥6, ♥7, ♥10, ♣7 | pair
♦A, ♥6, ♥7, ♦5, ♣7 | pair
♦A, ♥6, ♥7, ♣7, ♦2 | pair
♦A, ♥6, ♥7, ♣7, ♥8 | pair
♦A, ♦6, ♥Q, ♥7, ♣7 | pair
♦A, ♦6, ♥7, ♥10, ♣7 | pair
♦A, ♦6, ♥7, ♦5, ♣7 | pair
♦A, ♦6, ♥7, ♣7, ♦2 | pair
♦A, ♦6, ♥7, ♣7, ♥8 | pair
♦A, ♥Q, ♥7, ♥10, ♣7 | pair
♦A, ♥Q, ♥7, ♦5, ♣7 | pair
♦A, ♥Q, ♥7, ♣7, ♦2 | pair
♦A, ♥Q, ♥7, ♣7, ♥8 | pair
♦A, ♥7, ♥10, ♦5, ♣7 | pair
♦A, ♥7, ♥10, ♣7, ♦2 | pair
♦A, ♥7, ♥10, ♣7, ♥8 | pair
♦A, ♥7, ♦5, ♣7, ♦2 | pair
♦A, ♥7, ♦5, ♣7, ♥8 | pair
♦A, ♥7, ♣7, ♦2, ♥8 | pair
♥6, ♦6, ♥Q, ♥7, ♥10 | pair
♥6, ♦6, ♥Q, ♥7, ♦5 | pair
♥6, ♦6, ♥Q, ♥7, ♣7 | two pairs
♥6, ♦6, ♥Q, ♥7, ♦2 | pair
♥6, ♦6, ♥Q, ♥7, ♥8 | pair
♥6, ♦6, ♥Q, ♥10, ♦5 | pair
♥6, ♦6, ♥Q, ♥10, ♣7 | pair
♥6, ♦6, ♥Q, ♥10, ♦2 | pair
♥6, ♦6, ♥Q, ♥10, ♥8 | pair
♥6, ♦6, ♥Q, ♦5, ♣7 | pair
♥6, ♦6, ♥Q, ♦5, ♦2 | pair
♥6, ♦6, ♥Q, ♦5, ♥8 | pair
♥6, ♦6, ♥Q, ♣7, ♦2 | pair
♥6, ♦6, ♥Q, ♣7, ♥8 | pair
♥6, ♦6, ♥Q, ♦2, ♥8 | pair
♥6, ♦6, ♥7, ♥10, ♦5 | pair
♥6, ♦6, ♥7, ♥10, ♣7 | two pairs
♥6, ♦6, ♥7, ♥10, ♦2 | pair
♥6, ♦6, ♥7, ♥10, ♥8 | pair
♥6, ♦6, ♥7, ♦5, ♣7 | two pairs
♥6, ♦6, ♥7, ♦5, ♦2 | pair
♥6, ♦6, ♥7, ♦5, ♥8 | pair
♥6, ♦6, ♥7, ♣7, ♦2 | two pairs
♥6, ♦6, ♥7, ♣7, ♥8 | two pairs
♥6, ♦6, ♥7, ♦2, ♥8 | pair
♥6, ♦6, ♥10, ♦5, ♣7 | pair
♥6, ♦6, ♥10, ♦5, ♦2 | pair
♥6, ♦6, ♥10, ♦5, ♥8 | pair
♥6, ♦6, ♥10, ♣7, ♦2 | pair
♥6, ♦6, ♥10, ♣7, ♥8 | pair
♥6, ♦6, ♥10, ♦2, ♥8 | pair
♥6, ♦6, ♦5, ♣7, ♦2 | pair
♥6, ♦6, ♦5, ♣7, ♥8 | pair
♥6, ♦6, ♦5, ♦2, ♥8 | pair
♥6, ♦6, ♣7, ♦2, ♥8 | pair
♥6, ♥Q, ♥7, ♥10, ♣7 | pair
♥6, ♥Q, ♥7, ♥10, ♥8 | flush
♥6, ♥Q, ♥7, ♦5, ♣7 | pair
♥6, ♥Q, ♥7, ♣7, ♦2 | pair
♥6, ♥Q, ♥7, ♣7, ♥8 | pair
♥6, ♥7, ♥10, ♦5, ♣7 | pair
♥6, ♥7, ♥10, ♣7, ♦2 | pair
♥6, ♥7, ♥10, ♣7, ♥8 | pair
♥6, ♥7, ♦5, ♣7, ♦2 | pair
♥6, ♥7, ♦5, ♣7, ♥8 | pair
♥6, ♥7, ♣7, ♦2, ♥8 | pair
♦6, ♥Q, ♥7, ♥10, ♣7 | pair
♦6, ♥Q, ♥7, ♦5, ♣7 | pair
♦6, ♥Q, ♥7, ♣7, ♦2 | pair
♦6, ♥Q, ♥7, ♣7, ♥8 | pair
♦6, ♥7, ♥10, ♦5, ♣7 | pair
♦6, ♥7, ♥10, ♣7, ♦2 | pair
♦6, ♥7, ♥10, ♣7, ♥8 | pair
♦6, ♥7, ♦5, ♣7, ♦2 | pair
♦6, ♥7, ♦5, ♣7, ♥8 | pair
♦6, ♥7, ♣7, ♦2, ♥8 | pair
♥Q, ♥7, ♥10, ♦5, ♣7 | pair
♥Q, ♥7, ♥10, ♣7, ♦2 | pair
♥Q, ♥7, ♥10, ♣7, ♥8 | pair
♥Q, ♥7, ♦5, ♣7, ♦2 | pair
♥Q, ♥7, ♦5, ♣7, ♥8 | pair
♥Q, ♥7, ♣7, ♦2, ♥8 | pair
♥7, ♥10, ♦5, ♣7, ♦2 | pair
♥7, ♥10, ♦5, ♣7, ♥8 | pair
♥7, ♥10, ♣7, ♦2, ♥8 | pair
♥7, ♦5, ♣7, ♦2, ♥8 | pair
