♥K, ♥A, ♣4, ♠K, ♦8 | pair
♥A, ♦10, ♥A, ♦8, ♦2 | pair
♥A, ♦10, ♥A, ♦8, ♦A | three of a kind
♥A, ♦10, ♥A, ♦2, ♦A | three of a kind
♥A, ♦10, ♦8, ♦2, ♦A | pair
♥A, ♦A, ♣7, ♦K, ♠K | two pairs
♥A, ♦A, ♣7, ♦K, ♠7 | two pairs
♥A, ♦A, ♣7, ♦K, ♥A | three of a kind
♥A, ♦A, ♣7, ♦K, ♦8 | pair
♥A, ♦A, ♣7, ♦K, ♦2 | pair
♥A, ♦A, ♣7, ♦K, ♦A | three of a kind
♥A, ♦A, ♣7, ♠K, ♠7 | two pairs
♥A, ♦A, ♣7, ♠K, ♥A | three of a kind
♥A, ♦A, ♣7, ♠K, ♦8 | pair
♥A, ♦A, ♣7, ♠K, ♦2 | pair
♥A, ♦A, ♣7, ♠K, ♦A | three of a kind
♥A, ♦A, ♣7, ♠7, ♥A | fullhouse
♥A, ♦A, ♣7, ♠7, ♦8 | two pairs
♥A, ♦A, ♣7, ♠7, ♦2 | two pairs
♥A, ♦A, ♣7, ♠7, ♦A | fullhouse
♥A, ♦A, ♣7, ♥A, ♦8 | three of a kind
♥A, ♦A, ♣7, ♥A, ♦2 | three of a kind
♥A, ♦A, ♣7, ♥A, ♦A | four of a kind!
♥A, ♦A, ♣7, ♦8, ♦2 | pair
♥A, ♦A, ♣7, ♦8, ♦A | three of a kind
♥A, ♦A, ♣7, ♦2, ♦A | three of a kind
♥A, ♦A, ♦K, ♠K, ♠7 | two pairs
♥A, ♦A, ♦K, ♠K, ♥A | fullhouse
♥A, ♦A, ♦K, ♠K, ♦8 | two pairs
♥A, ♦A, ♦K, ♠K, ♦2 | two pairs
♥A, ♦A, ♦K, ♠K, ♦A | fullhouse
♥A, ♦A, ♦K, ♠7, ♥A | three of a kind
♥A, ♦A, ♦K, ♠7, ♦8 | pair
♥A, ♦A, ♦K, ♠7, ♦2 | pair
♥A, ♦A, ♦K, ♠7, ♦A | three of a kind
♥A, ♦A, ♦K, ♥A, ♦8 | three of a kind
♥A, ♦A, ♦K, ♥A, ♦2 | three of a kind
♥A, ♦A, ♦K, ♥A, ♦A | four of a kind!
♥A, ♦A, ♦K, ♦8, ♦2 | pair
♥A, ♦A, ♦K, ♦8, ♦A | three of a kind
♥A, ♦A, ♦K, ♦2, ♦A | three of a kind
♥A, ♦A, ♠K, ♠7, ♥A | three of a kind
♥A, ♦A, ♠K, ♠7, ♦8 | pair
♥A, ♦A, ♠K, ♠7, ♦2 | pair
♥A, ♦A, ♠K, ♠7, ♦A | three of a kind
♥A, ♦A, ♠K, ♥A, ♦8 | three of a kind
♥A, ♦A, ♠K, ♥A, ♦2 | three of a kind
♥A, ♦A, ♠K, ♥A, ♦A | four of a kind!
♥A, ♦A, ♠K, ♦8, ♦2 | pair
♥A, ♦A, ♠K, ♦8, ♦A | three of a kind
♥A, ♦A, ♠K, ♦2, ♦A | three of a kind
♥A, ♦A, ♠7, ♥A, ♦8 | three of a kind
♥A, ♦A, ♠7, ♥A, ♦2 | three of a kind
♥A, ♦A, ♠7, ♥A, ♦A | four of a kind!
♥A, ♦A, ♠7, ♦8, ♦2 | pair
♥A, ♦A, ♠7, ♦8, ♦A | three of a kind
♥A, ♦A, ♠7, ♦2, ♦A | three of a kind
♥A, ♦A, ♥A, ♦8, ♦2 | three of a kind
♥A, ♦A, ♥A, ♦8, ♦A | four of a kind!
♥A, ♦A, ♥A, ♦2, ♦A | four of a kind!
♥A, ♦A, ♦8, ♦2, ♦A | three of a kind
♥A, ♣7, ♦K, ♠K, ♠7 | two pairs
♥A, ♣7, ♦K, ♠K, ♥A | two pairs
♥A, ♣7, ♦K, ♠K, ♦8 | pair
♥A, ♣7, ♦K, ♠K, ♦2 | pair
♥A, ♣7, ♦K, ♠K, ♦A | two pairs
♥A, ♣7, ♦K, ♠7, ♥A | two pairs
♥A, ♣7, ♦K, ♠7, ♦8 | pair
♥A, ♣7, ♦K, ♠7, ♦2 | pair
♥A, ♣7, ♦K, ♠7, ♦A | two pairs
♥A, ♣7, ♦K, ♥A, ♦8 | pair
♥A, ♣7, ♦K, ♥A, ♦2 | pair
♥A, ♣7, ♦K, ♥A, ♦A | three of a kind
♥A, ♣7, ♦K, ♦8, ♦A | pair
♥A, ♣7, ♦K, ♦2, ♦A | pair
♥A, ♣7, ♠K, ♠7, ♥A | two pairs
♥A, ♣7, ♠K, ♠7, ♦8 | pair
♥A, ♣7, ♠K, ♠7, ♦2 | pair
♥A, ♣7, ♠K, ♠7, ♦A | two pairs
♥A, ♣7, ♠K, ♥A, ♦8 | pair
♥A, ♣7, ♠K, ♥A, ♦2 | pair
♥A, ♣7, ♠K, ♥A, ♦A | three of a kind
♥A, ♣7, ♠K, ♦8, ♦A | pair
♥A, ♣7, ♠K, ♦2, ♦A | pair
♥A, ♣7, ♠7, ♥A, ♦8 | two pairs
♥A, ♣7, ♠7, ♥A, ♦2 | two pairs
♥A, ♣7, ♠7, ♥A, ♦A | fullhouse
♥A, ♣7, ♠7, ♦8, ♦2 | pair
♥A, ♣7, ♠7, ♦8, ♦A | two pairs
♥A, ♣7, ♠7, ♦2, ♦A | two pairs
♥A, ♣7, ♥A, ♦8, ♦2 | pair
♥A, ♣7, ♥A, ♦8, ♦A | three of a kind
♥A, ♣7, ♥A, ♦2, ♦A | three of a kind
♥A, ♣7, ♦8, ♦2, ♦A | pair
♥A, ♦K, ♠K, ♠7, ♥A | two pairs
♥A, ♦K, ♠K, ♠7, ♦8 | pair
♥A, ♦K, ♠K, ♠7, ♦2 | pair
♥A, ♦K, ♠K, ♠7, ♦A | two pairs
♥A, ♦K, ♠K, ♥A, ♦8 | two pairs
♥A, ♦K, ♠K, ♥A, ♦2 | two pairs
♥A, ♦K, ♠K, ♥A, ♦A | fullhouse
♥A, ♦K, ♠K, ♦8, ♦2 | pair
♥A, ♦K, ♠K, ♦8, ♦A | two pairs
♥A, ♦K, ♠K, ♦2, ♦A | two pairs
♥A, ♦K, ♠7, ♥A, ♦8 | pair
♥A, ♦K, ♠7, ♥A, ♦2 | pair
♥A, ♦K, ♠7, ♥A, ♦A | three of a kind
♥A, ♦K, ♠7, ♦8, ♦A | pair
♥A, ♦K, ♠7, ♦2, ♦A | pair
♥A, ♦K, ♥A, ♦8, ♦2 | pair
♥A, ♦K, ♥A, ♦8, ♦A | three of a kind
♥A, ♦K, ♥A, ♦2, ♦A | three of a kind
♥A, ♦K, ♦8, ♦2, ♦A | pair
♥A, ♠K, ♠7, ♥A, ♦8 | pair
♥A, ♠K, ♠7, ♥A, ♦2 | pair
♥A, ♠K, ♠7, ♥A, ♦A | three of a kind
♥A, ♠K, ♠7, ♦8, ♦A | pair
♥A, ♠K, ♠7, ♦2, ♦A | pair
♥A, ♠K, ♥A, ♦8, ♦2 | pair
♥A, ♠K, ♥A, ♦8, ♦A | three of a kind
♥A, ♠K, ♥A, ♦2, ♦A | three of a kind
♥A, ♠K, ♦8, ♦2, ♦A | pair
♥A, ♠7, ♥A, ♦8, ♦2 | pair
♥A, ♠7, ♥A, ♦8, ♦A | three of a kind
♥A, ♠7, ♥A, ♦2, ♦A | three of a kind
♥A, ♠7, ♦8, ♦2, ♦A | pair
♥A, ♥A, ♦8, ♦2, ♦A | three of a kind
♣4, ♠K, ♦8, ♥7, ♣7 | pair
♣4, ♠K, ♦8, ♥7, ♦K | pair
♣4, ♠K, ♦8, ♥7, ♠K | pair
♣4, ♠K, ♦8, ♥7, ♠7 | pair
♣4, ♠K, ♦8, ♥7, ♦8 | pair
♣4, ♠K, ♦8, ♦10, ♦K | pair
♣4, ♠K, ♦8, ♦10, ♠K | pair
♣4, ♠K, ♦8, ♦10, ♦8 | pair
♣4, ♠K, ♦8, ♦A, ♦K | pair
♣4, ♠K, ♦8, ♦A, ♠K | pair
♣4, ♠K, ♦8, ♦A, ♥A | pair
♣4, ♠K, ♦8, ♦A, ♦8 | pair
♣4, ♠K, ♦8, ♦A, ♦A | pair
♣4, ♠K, ♦8, ♣7, ♦K | pair
♣4, ♠K, ♦8, ♣7, ♠K | pair
♣4, ♠K, ♦8, ♣7, ♠7 | pair
♣4, ♠K, ♦8, ♣7, ♦8 | pair
♣4, ♠K, ♦8, ♦K, ♠K | three of a kind
♣4, ♠K, ♦8, ♦K, ♠7 | pair
♣4, ♠K, ♦8, ♦K, ♥A | pair
♣4, ♠K, ♦8, ♦K, ♦8 | two pairs
♣4, ♠K, ♦8, ♦K, ♦2 | pair
♣4, ♠K, ♦8, ♦K, ♦A | pair
♣4, ♠K, ♦8, ♠K, ♠7 | pair
♣4, ♠K, ♦8, ♠K, ♥A | pair
♣4, ♠K, ♦8, ♠K, ♦8 | two pairs
♣4, ♠K, ♦8, ♠K, ♦2 | pair
♣4, ♠K, ♦8, ♠K, ♦A | pair
♣4, ♠K, ♦8, ♠7, ♦8 | pair
♣4, ♠K, ♦8, ♥A, ♦8 | pair
♣4, ♠K, ♦8, ♥A, ♦A | pair
♣4, ♠K, ♦8, ♦8, ♦2 | pair
♣4, ♠K, ♦8, ♦8, ♦A | pair
♣4, ♠K, ♥7, ♦10, ♣7 | pair
♣4, ♠K, ♥7, ♦10, ♦K | pair
♣4, ♠K, ♥7, ♦10, ♠K | pair
♣4, ♠K, ♥7, ♦10, ♠7 | pair
♣4, ♠K, ♥7, ♦A, ♣7 | pair
♣4, ♠K, ♥7, ♦A, ♦K | pair
♣4, ♠K, ♥7, ♦A, ♠K | pair
♣4, ♠K, ♥7, ♦A, ♠7 | pair
♣4, ♠K, ♥7, ♦A, ♥A | pair
♣4, ♠K, ♥7, ♦A, ♦A | pair
♣4, ♠K, ♥7, ♣7, ♦K | two pairs
♣4, ♠K, ♥7, ♣7, ♠K | two pairs
♣4, ♠K, ♥7, ♣7, ♠7 | three of a kind
♣4, ♠K, ♥7, ♣7, ♥A | pair
♣4, ♠K, ♥7, ♣7, ♦8 | pair
♣4, ♠K, ♥7, ♣7, ♦2 | pair
♣4, ♠K, ♥7, ♣7, ♦A | pair
♣4, ♠K, ♥7, ♦K, ♠K | three of a kind
♣4, ♠K, ♥7, ♦K, ♠7 | two pairs
♣4, ♠K, ♥7, ♦K, ♥A | pair
♣4, ♠K, ♥7, ♦K, ♦8 | pair
♣4, ♠K, ♥7, ♦K, ♦2 | pair
♣4, ♠K, ♥7, ♦K, ♦A | pair
♣4, ♠K, ♥7, ♠K, ♠7 | two pairs
♣4, ♠K, ♥7, ♠K, ♥A | pair
♣4, ♠K, ♥7, ♠K, ♦8 | pair
♣4, ♠K, ♥7, ♠K, ♦2 | pair
♣4, ♠K, ♥7, ♠K, ♦A | pair
♣4, ♠K, ♥7, ♠7, ♥A | pair
♣4, ♠K, ♥7, ♠7, ♦8 | pair
♣4, ♠K, ♥7, ♠7, ♦2 | pair
♣4, ♠K, ♥7, ♠7, ♦A | pair
♣4, ♠K, ♥7, ♥A, ♦A | pair
♣4, ♠K, ♦10, ♦A, ♦K | pair
♣4, ♠K, ♦10, ♦A, ♠K | pair
♣4, ♠K, ♦10, ♦A, ♥A | pair
♣4, ♠K, ♦10, ♦A, ♦A | pair
♣4, ♠K, ♦10, ♣7, ♦K | pair
♣4, ♠K, ♦10, ♣7, ♠K | pair
♣4, ♠K, ♦10, ♣7, ♠7 | pair
♣4, ♠K, ♦10, ♦K, ♠K | three of a kind
♣4, ♠K, ♦10, ♦K, ♠7 | pair
♣4, ♠K, ♦10, ♦K, ♥A | pair
♣4, ♠K, ♦10, ♦K, ♦8 | pair
♣4, ♠K, ♦10, ♦K, ♦2 | pair
♣4, ♠K, ♦10, ♦K, ♦A | pair
♣4, ♠K, ♦10, ♠K, ♠7 | pair
♣4, ♠K, ♦10, ♠K, ♥A | pair
♣4, ♠K, ♦10, ♠K, ♦8 | pair
♣4, ♠K, ♦10, ♠K, ♦2 | pair
♣4, ♠K, ♦10, ♠K, ♦A | pair
♣4, ♠K, ♦10, ♥A, ♦A | pair
♣4, ♠K, ♦A, ♣7, ♦K | pair
♣4, ♠K, ♦A, ♣7, ♠K | pair
♣4, ♠K, ♦A, ♣7, ♠7 | pair
♣4, ♠K, ♦A, ♣7, ♥A | pair
♣4, ♠K, ♦A, ♣7, ♦A | pair
♣4, ♠K, ♦A, ♦K, ♠K | three of a kind
♣4, ♠K, ♦A, ♦K, ♠7 | pair
♣4, ♠K, ♦A, ♦K, ♥A | two pairs
♣4, ♠K, ♦A, ♦K, ♦8 | pair
♣4, ♠K, ♦A, ♦K, ♦2 | pair
♣4, ♠K, ♦A, ♦K, ♦A | two pairs
♣4, ♠K, ♦A, ♠K, ♠7 | pair
♣4, ♠K, ♦A, ♠K, ♥A | two pairs
♣4, ♠K, ♦A, ♠K, ♦8 | pair
♣4, ♠K, ♦A, ♠K, ♦2 | pair
♣4, ♠K, ♦A, ♠K, ♦A | two pairs
♣4, ♠K, ♦A, ♠7, ♥A | pair
♣4, ♠K, ♦A, ♠7, ♦A | pair
♣4, ♠K, ♦A, ♥A, ♦8 | pair
♣4, ♠K, ♦A, ♥A, ♦2 | pair
♣4, ♠K, ♦A, ♥A, ♦A | three of a kind
♣4, ♠K, ♦A, ♦8, ♦A | pair
♣4, ♠K, ♦A, ♦2, ♦A | pair
♣4, ♠K, ♣7, ♦K, ♠K | three of a kind
♣4, ♠K, ♣7, ♦K, ♠7 | two pairs
♣4, ♠K, ♣7, ♦K, ♥A | pair
♣4, ♠K, ♣7, ♦K, ♦8 | pair
♣4, ♠K, ♣7, ♦K, ♦2 | pair
♣4, ♠K, ♣7, ♦K, ♦A | pair
♣4, ♠K, ♣7, ♠K, ♠7 | two pairs
♣4, ♠K, ♣7, ♠K, ♥A | pair
♣4, ♠K, ♣7, ♠K, ♦8 | pair
♣4, ♠K, ♣7, ♠K, ♦2 | pair
♣4, ♠K, ♣7, ♠K, ♦A | pair
♣4, ♠K, ♣7, ♠7, ♥A | pair
♣4, ♠K, ♣7, ♠7, ♦8 | pair
♣4, ♠K, ♣7, ♠7, ♦2 | pair
♣4, ♠K, ♣7, ♠7, ♦A | pair
♣4, ♠K, ♣7, ♥A, ♦A | pair
♣4, ♠K, ♦K, ♠K, ♠7 | three of a kind
♣4, ♠K, ♦K, ♠K, ♥A | three of a kind
♣4, ♠K, ♦K, ♠K, ♦8 | three of a kind
♣4, ♠K, ♦K, ♠K, ♦2 | three of a kind
♣4, ♠K, ♦K, ♠K, ♦A | three of a kind
♣4, ♠K, ♦K, ♠7, ♥A | pair
♣4, ♠K, ♦K, ♠7, ♦8 | pair
♣4, ♠K, ♦K, ♠7, ♦2 | pair
♣4, ♠K, ♦K, ♠7, ♦A | pair
♣4, ♠K, ♦K, ♥A, ♦8 | pair
♣4, ♠K, ♦K, ♥A, ♦2 | pair
♣4, ♠K, ♦K, ♥A, ♦A | two pairs
♣4, ♠K, ♦K, ♦8, ♦2 | pair
♣4, ♠K, ♦K, ♦8, ♦A | pair
♣4, ♠K, ♦K, ♦2, ♦A | pair
♣4, ♠K, ♠K, ♠7, ♥A | pair
♣4, ♠K, ♠K, ♠7, ♦8 | pair
♣4, ♠K, ♠K, ♠7, ♦2 | pair
♣4, ♠K, ♠K, ♠7, ♦A | pair
♣4, ♠K, ♠K, ♥A, ♦8 | pair
♣4, ♠K, ♠K, ♥A, ♦2 | pair
♣4, ♠K, ♠K, ♥A, ♦A | two pairs
♣4, ♠K, ♠K, ♦8, ♦2 | pair
♣4, ♠K, ♠K, ♦8, ♦A | pair
♣4, ♠K, ♠K, ♦2, ♦A | pair
♣4, ♠K, ♠7, ♥A, ♦A | pair
♣4, ♠K, ♥A, ♦8, ♦A | pair
♣4, ♠K, ♥A, ♦2, ♦A | pair
♣4, ♦8, ♥7, ♦10, ♣7 | pair
♣4, ♦8, ♥7, ♦10, ♠7 | pair
♣4, ♦8, ♥7, ♦10, ♦8 | pair
♣4, ♦8, ♥7, ♦A, ♣7 | pair
♣4, ♦8, ♥7, ♦A, ♠7 | pair
♣4, ♦8, ♥7, ♦A, ♥A | pair
♣4, ♦8, ♥7, ♦A, ♦8 | pair
♣4, ♦8, ♥7, ♦A, ♦A | pair
♣4, ♦8, ♥7, ♣7, ♦K | pair
♣4, ♦8, ♥7, ♣7, ♠K | pair
♣4, ♦8, ♥7, ♣7, ♠7 | three of a kind
♣4, ♦8, ♥7, ♣7, ♥A | pair
♣4, ♦8, ♥7, ♣7, ♦8 | two pairs
♣4, ♦8, ♥7, ♣7, ♦2 | pair
♣4, ♦8, ♥7, ♣7, ♦A | pair
♣4, ♦8, ♥7, ♦K, ♠K | pair
♣4, ♦8, ♥7, ♦K, ♠7 | pair
♣4, ♦8, ♥7, ♦K, ♦8 | pair
♣4, ♦8, ♥7, ♠K, ♠7 | pair
♣4, ♦8, ♥7, ♠K, ♦8 | pair
♣4, ♦8, ♥7, ♠7, ♥A | pair
♣4, ♦8, ♥7, ♠7, ♦8 | two pairs
♣4, ♦8, ♥7, ♠7, ♦2 | pair
♣4, ♦8, ♥7, ♠7, ♦A | pair
♣4, ♦8, ♥7, ♥A, ♦8 | pair
♣4, ♦8, ♥7, ♥A, ♦A | pair
♣4, ♦8, ♥7, ♦8, ♦2 | pair
♣4, ♦8, ♥7, ♦8, ♦A | pair
♣4, ♦8, ♦10, ♦A, ♥A | pair
♣4, ♦8, ♦10, ♦A, ♦8 | pair
♣4, ♦8, ♦10, ♦A, ♦A | pair
♣4, ♦8, ♦10, ♣7, ♠7 | pair
♣4, ♦8, ♦10, ♣7, ♦8 | pair
♣4, ♦8, ♦10, ♦K, ♠K | pair
♣4, ♦8, ♦10, ♦K, ♦8 | pair
♣4, ♦8, ♦10, ♠K, ♦8 | pair
♣4, ♦8, ♦10, ♠7, ♦8 | pair
♣4, ♦8, ♦10, ♥A, ♦8 | pair
♣4, ♦8, ♦10, ♥A, ♦A | pair
♣4, ♦8, ♦10, ♦8, ♦2 | pair
♣4, ♦8, ♦10, ♦8, ♦A | pair
♣4, ♦8, ♦A, ♣7, ♠7 | pair
♣4, ♦8, ♦A, ♣7, ♥A | pair
♣4, ♦8, ♦A, ♣7, ♦8 | pair
♣4, ♦8, ♦A, ♣7, ♦A | pair
♣4, ♦8, ♦A, ♦K, ♠K | pair
♣4, ♦8, ♦A, ♦K, ♥A | pair
♣4, ♦8, ♦A, ♦K, ♦8 | pair
♣4, ♦8, ♦A, ♦K, ♦A | pair
♣4, ♦8, ♦A, ♠K, ♥A | pair
♣4, ♦8, ♦A, ♠K, ♦8 | pair
♣4, ♦8, ♦A, ♠K, ♦A | pair
♣4, ♦8, ♦A, ♠7, ♥A | pair
♣4, ♦8, ♦A, ♠7, ♦8 | pair
♣4, ♦8, ♦A, ♠7, ♦A | pair
♣4, ♦8, ♦A, ♥A, ♦8 | two pairs
♣4, ♦8, ♦A, ♥A, ♦2 | pair
♣4, ♦8, ♦A, ♥A, ♦A | three of a kind
♣4, ♦8, ♦A, ♦8, ♦2 | pair
♣4, ♦8, ♦A, ♦8, ♦A | two pairs
♣4, ♦8, ♦A, ♦2, ♦A | pair
♣4, ♦8, ♣7, ♦K, ♠K | pair
♣4, ♦8, ♣7, ♦K, ♠7 | pair
♣4, ♦8, ♣7, ♦K, ♦8 | pair
♣4, ♦8, ♣7, ♠K, ♠7 | pair
♣4, ♦8, ♣7, ♠K, ♦8 | pair
♣4, ♦8, ♣7, ♠7, ♥A | pair
♣4, ♦8, ♣7, ♠7, ♦8 | two pairs
♣4, ♦8, ♣7, ♠7, ♦2 | pair
♣4, ♦8, ♣7, ♠7, ♦A | pair
♣4, ♦8, ♣7, ♥A, ♦8 | pair
♣4, ♦8, ♣7, ♥A, ♦A | pair
♣4, ♦8, ♣7, ♦8, ♦2 | pair
♣4, ♦8, ♣7, ♦8, ♦A | pair
♣4, ♦8, ♦K, ♠K, ♠7 | pair
♣4, ♦8, ♦K, ♠K, ♥A | pair
♣4, ♦8, ♦K, ♠K, ♦8 | two pairs
♣4, ♦8, ♦K, ♠K, ♦2 | pair
♣4, ♦8, ♦K, ♠K, ♦A | pair
♣4, ♦8, ♦K, ♠7, ♦8 | pair
♣4, ♦8, ♦K, ♥A, ♦8 | pair
♣4, ♦8, ♦K, ♥A, ♦A | pair
♣4, ♦8, ♦K, ♦8, ♦2 | pair
♣4, ♦8, ♦K, ♦8, ♦A | pair
♣4, ♦8, ♠K, ♠7, ♦8 | pair
♣4, ♦8, ♠K, ♥A, ♦8 | pair
♣4, ♦8, ♠K, ♥A, ♦A | pair
♣4, ♦8, ♠K, ♦8, ♦2 | pair
♣4, ♦8, ♠K, ♦8, ♦A | pair
♣4, ♦8, ♠7, ♥A, ♦8 | pair
♣4, ♦8, ♠7, ♥A, ♦A | pair
♣4, ♦8, ♠7, ♦8, ♦2 | pair
♣4, ♦8, ♠7, ♦8, ♦A | pair
♣4, ♦8, ♥A, ♦8, ♦2 | pair
♣4, ♦8, ♥A, ♦8, ♦A | two pairs
♣4, ♦8, ♥A, ♦2, ♦A | pair
♣4, ♦8, ♦8, ♦2, ♦A | pair
♣4, ♥7, ♦10, ♦A, ♣7 | pair
♣4, ♥7, ♦10, ♦A, ♠7 | pair
♣4, ♥7, ♦10, ♦A, ♥A | pair
♣4, ♥7, ♦10, ♦A, ♦A | pair
♣4, ♥7, ♦10, ♣7, ♦K | pair
♣4, ♥7, ♦10, ♣7, ♠K | pair
♣4, ♥7, ♦10, ♣7, ♠7 | three of a kind
♣4, ♥7, ♦10, ♣7, ♥A | pair
♣4, ♥7, ♦10, ♣7, ♦8 | pair
♣4, ♥7, ♦10, ♣7, ♦2 | pair
♣4, ♥7, ♦10, ♣7, ♦A | pair
♣4, ♥7, ♦10, ♦K, ♠K | pair
♣4, ♥7, ♦10, ♦K, ♠7 | pair
♣4, ♥7, ♦10, ♠K, ♠7 | pair
♣4, ♥7, ♦10, ♠7, ♥A | pair
♣4, ♥7, ♦10, ♠7, ♦8 | pair
♣4, ♥7, ♦10, ♠7, ♦2 | pair
♣4, ♥7, ♦10, ♠7, ♦A | pair
♣4, ♥7, ♦10, ♥A, ♦A | pair
♣4, ♥7, ♦A, ♣7, ♦K | pair
♣4, ♥7, ♦A, ♣7, ♠K | pair
♣4, ♥7, ♦A, ♣7, ♠7 | three of a kind
♣4, ♥7, ♦A, ♣7, ♥A | two pairs
♣4, ♥7, ♦A, ♣7, ♦8 | pair
♣4, ♥7, ♦A, ♣7, ♦2 | pair
♣4, ♥7, ♦A, ♣7, ♦A | two pairs
♣4, ♥7, ♦A, ♦K, ♠K | pair
♣4, ♥7, ♦A, ♦K, ♠7 | pair
♣4, ♥7, ♦A, ♦K, ♥A | pair
♣4, ♥7, ♦A, ♦K, ♦A | pair
♣4, ♥7, ♦A, ♠K, ♠7 | pair
♣4, ♥7, ♦A, ♠K, ♥A | pair
♣4, ♥7, ♦A, ♠K, ♦A | pair
♣4, ♥7, ♦A, ♠7, ♥A | two pairs
♣4, ♥7, ♦A, ♠7, ♦8 | pair
♣4, ♥7, ♦A, ♠7, ♦2 | pair
♣4, ♥7, ♦A, ♠7, ♦A | two pairs
♣4, ♥7, ♦A, ♥A, ♦8 | pair
♣4, ♥7, ♦A, ♥A, ♦2 | pair
♣4, ♥7, ♦A, ♥A, ♦A | three of a kind
♣4, ♥7, ♦A, ♦8, ♦A | pair
♣4, ♥7, ♦A, ♦2, ♦A | pair
♣4, ♥7, ♣7, ♦K, ♠K | two pairs
♣4, ♥7, ♣7, ♦K, ♠7 | three of a kind
♣4, ♥7, ♣7, ♦K, ♥A | pair
♣4, ♥7, ♣7, ♦K, ♦8 | pair
♣4, ♥7, ♣7, ♦K, ♦2 | pair
♣4, ♥7, ♣7, ♦K, ♦A | pair
♣4, ♥7, ♣7, ♠K, ♠7 | three of a kind
♣4, ♥7, ♣7, ♠K, ♥A | pair
♣4, ♥7, ♣7, ♠K, ♦8 | pair
♣4, ♥7, ♣7, ♠K, ♦2 | pair
♣4, ♥7, ♣7, ♠K, ♦A | pair
♣4, ♥7, ♣7, ♠7, ♥A | three of a kind
♣4, ♥7, ♣7, ♠7, ♦8 | three of a kind
♣4, ♥7, ♣7, ♠7, ♦2 | three of a kind
♣4, ♥7, ♣7, ♠7, ♦A | three of a kind
♣4, ♥7, ♣7, ♥A, ♦8 | pair
♣4, ♥7, ♣7, ♥A, ♦2 | pair
♣4, ♥7, ♣7, ♥A, ♦A | two pairs
♣4, ♥7, ♣7, ♦8, ♦2 | pair
♣4, ♥7, ♣7, ♦8, ♦A | pair
♣4, ♥7, ♣7, ♦2, ♦A | pair
♣4, ♥7, ♦K, ♠K, ♠7 | two pairs
♣4, ♥7, ♦K, ♠K, ♥A | pair
♣4, ♥7, ♦K, ♠K, ♦8 | pair
♣4, ♥7, ♦K, ♠K, ♦2 | pair
♣4, ♥7, ♦K, ♠K, ♦A | pair
♣4, ♥7, ♦K, ♠7, ♥A | pair
♣4, ♥7, ♦K, ♠7, ♦8 | pair
♣4, ♥7, ♦K, ♠7, ♦2 | pair
♣4, ♥7, ♦K, ♠7, ♦A | pair
♣4, ♥7, ♦K, ♥A, ♦A | pair
♣4, ♥7, ♠K, ♠7, ♥A | pair
♣4, ♥7, ♠K, ♠7, ♦8 | pair
♣4, ♥7, ♠K, ♠7, ♦2 | pair
♣4, ♥7, ♠K, ♠7, ♦A | pair
♣4, ♥7, ♠K, ♥A, ♦A | pair
♣4, ♥7, ♠7, ♥A, ♦8 | pair
♣4, ♥7, ♠7, ♥A, ♦2 | pair
♣4, ♥7, ♠7, ♥A, ♦A | two pairs
♣4, ♥7, ♠7, ♦8, ♦2 | pair
♣4, ♥7, ♠7, ♦8, ♦A | pair
♣4, ♥7, ♠7, ♦2, ♦A | pair
♣4, ♥7, ♥A, ♦8, ♦A | pair
♣4, ♥7, ♥A, ♦2, ♦A | pair
♣4, ♦10, ♦A, ♣7, ♠7 | pair
♣4, ♦10, ♦A, ♣7, ♥A | pair
♣4, ♦10, ♦A, ♣7, ♦A | pair
♣4, ♦10, ♦A, ♦K, ♠K | pair
♣4, ♦10, ♦A, ♦K, ♥A | pair
♣4, ♦10, ♦A, ♦K, ♦A | pair
♣4, ♦10, ♦A, ♠K, ♥A | pair
♣4, ♦10, ♦A, ♠K, ♦A | pair
♣4, ♦10, ♦A, ♠7, ♥A | pair
♣4, ♦10, ♦A, ♠7, ♦A | pair
♣4, ♦10, ♦A, ♥A, ♦8 | pair
♣4, ♦10, ♦A, ♥A, ♦2 | pair
♣4, ♦10, ♦A, ♥A, ♦A | three of a kind
♣4, ♦10, ♦A, ♦8, ♦A | pair
♣4, ♦10, ♦A, ♦2, ♦A | pair
♣4, ♦10, ♣7, ♦K, ♠K | pair
♣4, ♦10, ♣7, ♦K, ♠7 | pair
♣4, ♦10, ♣7, ♠K, ♠7 | pair
♣4, ♦10, ♣7, ♠7, ♥A | pair
♣4, ♦10, ♣7, ♠7, ♦8 | pair
♣4, ♦10, ♣7, ♠7, ♦2 | pair
♣4, ♦10, ♣7, ♠7, ♦A | pair
♣4, ♦10, ♣7, ♥A, ♦A | pair
♣4, ♦10, ♦K, ♠K, ♠7 | pair
♣4, ♦10, ♦K, ♠K, ♥A | pair
♣4, ♦10, ♦K, ♠K, ♦8 | pair
♣4, ♦10, ♦K, ♠K, ♦2 | pair
♣4, ♦10, ♦K, ♠K, ♦A | pair
♣4, ♦10, ♦K, ♥A, ♦A | pair
♣4, ♦10, ♠K, ♥A, ♦A | pair
♣4, ♦10, ♠7, ♥A, ♦A | pair
♣4, ♦10, ♥A, ♦8, ♦A | pair
♣4, ♦10, ♥A, ♦2, ♦A | pair
♣4, ♦A, ♣7, ♦K, ♠K | pair
♣4, ♦A, ♣7, ♦K, ♠7 | pair
