♣10, ♥A, ♠7, ♥J, ♦7 | pair
♣5, ♣9, ♥Q, ♦9, ♠6 | pair
♣5, ♣9, ♥Q, ♠9, ♠6 | pair
♣5, ♣9, ♦3, ♥10, ♦9 | pair
♣5, ♣9, ♦3, ♥10, ♠9 | pair
♣5, ♣9, ♦3, ♦9, ♠9 | three of a kind
♣5, ♣9, ♦3, ♦9, ♠6 | pair
♣5, ♣9, ♦3, ♠9, ♠6 | pair
♣5, ♣9, ♥10, ♦9, ♠9 | three of a kind
♣5, ♣9, ♥10, ♦9, ♠6 | pair
♣5, ♣9, ♥10, ♠9, ♠6 | pair
♣5, ♣9, ♦9, ♠9, ♠6 | three of a kind
♣5, ♦7, ♦K, ♣3, ♣7 | pair
♣5, ♦7, ♦K, ♣3, ♦3 | pair
♣5, ♦7, ♦K, ♣7, ♥Q | pair
♣5, ♦7, ♦K, ♣7, ♦3 | pair
♣5, ♦7, ♦K, ♣7, ♥10 | pair
♣5, ♦7, ♦K, ♣7, ♦9 | pair
♣5, ♦7, ♦K, ♣7, ♠9 | pair
♣5, ♦7, ♦K, ♣7, ♠6 | pair
♣5, ♦7, ♦K, ♦9, ♠9 | pair
♣5, ♦7, ♣3, ♣7, ♥Q | pair
♣5, ♦7, ♣3, ♣7, ♦3 | two pairs
♣5, ♦7, ♣3, ♣7, ♥10 | pair
♣5, ♦7, ♣3, ♣7, ♦9 | pair
♣5, ♦7, ♣3, ♣7, ♠9 | pair
♣5, ♦7, ♣3, ♣7, ♠6 | pair
♣5, ♦7, ♣3, ♥Q, ♦3 | pair
♣5, ♦7, ♣3, ♦3, ♥10 | pair
♣5, ♦7, ♣3, ♦3, ♦9 | pair
♣5, ♦7, ♣3, ♦3, ♠9 | pair
♣5, ♦7, ♣3, ♦3, ♠6 | pair
♣5, ♦7, ♣3, ♦9, ♠9 | pair
♣5, ♦7, ♣7, ♥Q, ♦3 | pair
♣5, ♦7, ♣7, ♥Q, ♥10 | pair
♣5, ♦7, ♣7, ♥Q, ♦9 | pair
♣5, ♦7, ♣7, ♥Q, ♠9 | pair
♣5, ♦7, ♣7, ♥Q, ♠6 | pair
♣5, ♦7, ♣7, ♦3, ♥10 | pair
♣5, ♦7, ♣7, ♦3, ♦9 | pair
♣5, ♦7, ♣7, ♦3, ♠9 | pair
♣5, ♦7, ♣7, ♦3, ♠6 | pair
♣5, ♦7, ♣7, ♥10, ♦9 | pair
♣5, ♦7, ♣7, ♥10, ♠9 | pair
♣5, ♦7, ♣7, ♥10, ♠6 | pair
♣5, ♦7, ♣7, ♦9, ♠9 | two pairs
♣5, ♦7, ♣7, ♦9, ♠6 | pair
♣5, ♦7, ♣7, ♠9, ♠6 | pair
♣5, ♦7, ♥Q, ♦9, ♠9 | pair
♣5, ♦7, ♦3, ♦9, ♠9 | pair
♣5, ♦7, ♥10, ♦9, ♠9 | pair
♣5, ♦7, ♦9, ♠9, ♠6 | pair
♣5, ♦K, ♣3, ♣7, ♦3 | pair
♣5, ♦K, ♣3, ♥Q, ♦3 | pair
♣5, ♦K, ♣3, ♦3, ♥10 | pair
♣5, ♦K, ♣3, ♦3, ♦9 | pair
♣5, ♦K, ♣3, ♦3, ♠9 | pair
♣5, ♦K, ♣3, ♦3, ♠6 | pair
♣5, ♦K, ♣3, ♦9, ♠9 | pair
♣5, ♦K, ♣7, ♦9, ♠9 | pair
♣5, ♦K, ♥Q, ♦9, ♠9 | pair
♣5, ♦K, ♦3, ♦9, ♠9 | pair
♣5, ♦K, ♥10, ♦9, ♠9 | pair
♣5, ♦K, ♦9, ♠9, ♠6 | pair
♣5, ♣3, ♣7, ♥Q, ♦3 | pair
♣5, ♣3, ♣7, ♦3, ♥10 | pair
♣5, ♣3, ♣7, ♦3, ♦9 | pair
♣5, ♣3, ♣7, ♦3, ♠9 | pair
♣5, ♣3, ♣7, ♦3, ♠6 | pair
♣5, ♣3, ♣7, ♦9, ♠9 | pair
♣5, ♣3, ♥Q, ♦3, ♥10 | pair
♣5, ♣3, ♥Q, ♦3, ♦9 | pair
♣5, ♣3, ♥Q, ♦3, ♠9 | pair
♣5, ♣3, ♥Q, ♦3, ♠6 | pair
♣5, ♣3, ♥Q, ♦9, ♠9 | pair
♣5, ♣3, ♦3, ♥10, ♦9 | pair
♣5, ♣3, ♦3, ♥10, ♠9 | pair
♣5, ♣3, ♦3, ♥10, ♠6 | pair
♣5, ♣3, ♦3, ♦9, ♠9 | two pairs
♣5, ♣3, ♦3, ♦9, ♠6 | pair
♣5, ♣3, ♦3, ♠9, ♠6 | pair
♣5, ♣3, ♥10, ♦9, ♠9 | pair
♣5, ♣3, ♦9, ♠9, ♠6 | pair
♣5, ♣7, ♥Q, ♦9, ♠9 | pair
♣5, ♣7, ♦3, ♦9, ♠9 | pair
♣5, ♣7, ♥10, ♦9, ♠9 | pair
♣5, ♣7, ♦9, ♠9, ♠6 | pair
♣5, ♥Q, ♦3, ♦9, ♠9 | pair
♣5, ♥Q, ♥10, ♦9, ♠9 | pair
♣5, ♥Q, ♦9, ♠9, ♠6 | pair
♣5, ♦3, ♥10, ♦9, ♠9 | pair
♣5, ♦3, ♦9, ♠9, ♠6 | pair
♣5, ♥10, ♦9, ♠9, ♠6 | pair
♣9, ♦7, ♦K, ♣3, ♣7 | pair
♣9, ♦7, ♦K, ♣3, ♦3 | pair
♣9, ♦7, ♦K, ♣3, ♦9 | pair
♣9, ♦7, ♦K, ♣3, ♠9 | pair
♣9, ♦7, ♦K, ♣7, ♥Q | pair
♣9, ♦7, ♦K, ♣7, ♦3 | pair
♣9, ♦7, ♦K, ♣7, ♥10 | pair
♣9, ♦7, ♦K, ♣7, ♦9 | two pairs
♣9, ♦7, ♦K, ♣7, ♠9 | two pairs
♣9, ♦7, ♦K, ♣7, ♠6 | pair
♣9, ♦7, ♦K, ♥Q, ♦9 | pair
♣9, ♦7, ♦K, ♥Q, ♠9 | pair
♣9, ♦7, ♦K, ♦3, ♦9 | pair
♣9, ♦7, ♦K, ♦3, ♠9 | pair
♣9, ♦7, ♦K, ♥10, ♦9 | pair
♣9, ♦7, ♦K, ♥10, ♠9 | pair
♣9, ♦7, ♦K, ♦9, ♠9 | three of a kind
♣9, ♦7, ♦K, ♦9, ♠6 | pair
♣9, ♦7, ♦K, ♠9, ♠6 | pair
♣9, ♦7, ♣3, ♣7, ♥Q | pair
♣9, ♦7, ♣3, ♣7, ♦3 | two pairs
♣9, ♦7, ♣3, ♣7, ♥10 | pair
♣9, ♦7, ♣3, ♣7, ♦9 | two pairs
♣9, ♦7, ♣3, ♣7, ♠9 | two pairs
♣9, ♦7, ♣3, ♣7, ♠6 | pair
♣9, ♦7, ♣3, ♥Q, ♦3 | pair
♣9, ♦7, ♣3, ♥Q, ♦9 | pair
♣9, ♦7, ♣3, ♥Q, ♠9 | pair
♣9, ♦7, ♣3, ♦3, ♥10 | pair
♣9, ♦7, ♣3, ♦3, ♦9 | two pairs
♣9, ♦7, ♣3, ♦3, ♠9 | two pairs
♣9, ♦7, ♣3, ♦3, ♠6 | pair
♣9, ♦7, ♣3, ♥10, ♦9 | pair
♣9, ♦7, ♣3, ♥10, ♠9 | pair
♣9, ♦7, ♣3, ♦9, ♠9 | three of a kind
♣9, ♦7, ♣3, ♦9, ♠6 | pair
♣9, ♦7, ♣3, ♠9, ♠6 | pair
♣9, ♦7, ♣7, ♥Q, ♦3 | pair
♣9, ♦7, ♣7, ♥Q, ♥10 | pair
♣9, ♦7, ♣7, ♥Q, ♦9 | two pairs
♣9, ♦7, ♣7, ♥Q, ♠9 | two pairs
♣9, ♦7, ♣7, ♥Q, ♠6 | pair
♣9, ♦7, ♣7, ♦3, ♥10 | pair
♣9, ♦7, ♣7, ♦3, ♦9 | two pairs
♣9, ♦7, ♣7, ♦3, ♠9 | two pairs
♣9, ♦7, ♣7, ♦3, ♠6 | pair
♣9, ♦7, ♣7, ♥10, ♦9 | two pairs
♣9, ♦7, ♣7, ♥10, ♠9 | two pairs
♣9, ♦7, ♣7, ♥10, ♠6 | pair
♣9, ♦7, ♣7, ♦9, ♠9 | fullhouse
♣9, ♦7, ♣7, ♦9, ♠6 | two pairs
♣9, ♦7, ♣7, ♠9, ♠6 | two pairs
♣9, ♦7, ♥Q, ♦3, ♦9 | pair
♣9, ♦7, ♥Q, ♦3, ♠9 | pair
♣9, ♦7, ♥Q, ♥10, ♦9 | pair
♣9, ♦7, ♥Q, ♥10, ♠9 | pair
♣9, ♦7, ♥Q, ♦9, ♠9 | three of a kind
♣9, ♦7, ♥Q, ♦9, ♠6 | pair
♣9, ♦7, ♥Q, ♠9, ♠6 | pair
♣9, ♦7, ♦3, ♥10, ♦9 | pair
♣9, ♦7, ♦3, ♥10, ♠9 | pair
♣9, ♦7, ♦3, ♦9, ♠9 | three of a kind
♣9, ♦7, ♦3, ♦9, ♠6 | pair
♣9, ♦7, ♦3, ♠9, ♠6 | pair
♣9, ♦7, ♥10, ♦9, ♠9 | three of a kind
♣9, ♦7, ♥10, ♦9, ♠6 | pair
♣9, ♦7, ♥10, ♠9, ♠6 | pair
♣9, ♦7, ♦9, ♠9, ♠6 | three of a kind
♣9, ♦K, ♣3, ♣7, ♦3 | pair
♣9, ♦K, ♣3, ♣7, ♦9 | pair
♣9, ♦K, ♣3, ♣7, ♠9 | pair
♣9, ♦K, ♣3, ♥Q, ♦3 | pair
♣9, ♦K, ♣3, ♥Q, ♦9 | pair
♣9, ♦K, ♣3, ♥Q, ♠9 | pair
♣9, ♦K, ♣3, ♦3, ♥10 | pair
♣9, ♦K, ♣3, ♦3, ♦9 | two pairs
♣9, ♦K, ♣3, ♦3, ♠9 | two pairs
♣9, ♦K, ♣3, ♦3, ♠6 | pair
♣9, ♦K, ♣3, ♥10, ♦9 | pair
♣9, ♦K, ♣3, ♥10, ♠9 | pair
♣9, ♦K, ♣3, ♦9, ♠9 | three of a kind
♣9, ♦K, ♣3, ♦9, ♠6 | pair
♣9, ♦K, ♣3, ♠9, ♠6 | pair
♣9, ♦K, ♣7, ♥Q, ♦9 | pair
♣9, ♦K, ♣7, ♥Q, ♠9 | pair
♣9, ♦K, ♣7, ♦3, ♦9 | pair
♣9, ♦K, ♣7, ♦3, ♠9 | pair
♣9, ♦K, ♣7, ♥10, ♦9 | pair
♣9, ♦K, ♣7, ♥10, ♠9 | pair
♣9, ♦K, ♣7, ♦9, ♠9 | three of a kind
♣9, ♦K, ♣7, ♦9, ♠6 | pair
♣9, ♦K, ♣7, ♠9, ♠6 | pair
♣9, ♦K, ♥Q, ♦3, ♦9 | pair
♣9, ♦K, ♥Q, ♦3, ♠9 | pair
♣9, ♦K, ♥Q, ♥10, ♦9 | pair
♣9, ♦K, ♥Q, ♥10, ♠9 | pair
♣9, ♦K, ♥Q, ♦9, ♠9 | three of a kind
♣9, ♦K, ♥Q, ♦9, ♠6 | pair
♣9, ♦K, ♥Q, ♠9, ♠6 | pair
♣9, ♦K, ♦3, ♥10, ♦9 | pair
♣9, ♦K, ♦3, ♥10, ♠9 | pair
♣9, ♦K, ♦3, ♦9, ♠9 | three of a kind
♣9, ♦K, ♦3, ♦9, ♠6 | pair
♣9, ♦K, ♦3, ♠9, ♠6 | pair
♣9, ♦K, ♥10, ♦9, ♠9 | three of a kind
♣9, ♦K, ♥10, ♦9, ♠6 | pair
♣9, ♦K, ♥10, ♠9, ♠6 | pair
♣9, ♦K, ♦9, ♠9, ♠6 | three of a kind
♣9, ♣3, ♣7, ♥Q, ♦3 | pair
♣9, ♣3, ♣7, ♥Q, ♦9 | pair
♣9, ♣3, ♣7, ♥Q, ♠9 | pair
♣9, ♣3, ♣7, ♦3, ♥10 | pair
♣9, ♣3, ♣7, ♦3, ♦9 | two pairs
♣9, ♣3, ♣7, ♦3, ♠9 | two pairs
♣9, ♣3, ♣7, ♦3, ♠6 | pair
♣9, ♣3, ♣7, ♥10, ♦9 | pair
♣9, ♣3, ♣7, ♥10, ♠9 | pair
♣9, ♣3, ♣7, ♦9, ♠9 | three of a kind
♣9, ♣3, ♣7, ♦9, ♠6 | pair
♣9, ♣3, ♣7, ♠9, ♠6 | pair
♣9, ♣3, ♥Q, ♦3, ♥10 | pair
♣9, ♣3, ♥Q, ♦3, ♦9 | two pairs
♣9, ♣3, ♥Q, ♦3, ♠9 | two pairs
♣9, ♣3, ♥Q, ♦3, ♠6 | pair
♣9, ♣3, ♥Q, ♥10, ♦9 | pair
♣9, ♣3, ♥Q, ♥10, ♠9 | pair
♣9, ♣3, ♥Q, ♦9, ♠9 | three of a kind
♣9, ♣3, ♥Q, ♦9, ♠6 | pair
♣9, ♣3, ♥Q, ♠9, ♠6 | pair
♣9, ♣3, ♦3, ♥10, ♦9 | two pairs
♣9, ♣3, ♦3, ♥10, ♠9 | two pairs
♣9, ♣3, ♦3, ♥10, ♠6 | pair
♣9, ♣3, ♦3, ♦9, ♠9 | fullhouse
♣9, ♣3, ♦3, ♦9, ♠6 | two pairs
♣9, ♣3, ♦3, ♠9, ♠6 | two pairs
♣9, ♣3, ♥10, ♦9, ♠9 | three of a kind
♣9, ♣3, ♥10, ♦9, ♠6 | pair
♣9, ♣3, ♥10, ♠9, ♠6 | pair
♣9, ♣3, ♦9, ♠9, ♠6 | three of a kind
♣9, ♣7, ♥Q, ♦3, ♦9 | pair
♣9, ♣7, ♥Q, ♦3, ♠9 | pair
♣9, ♣7, ♥Q, ♥10, ♦9 | pair
♣9, ♣7, ♥Q, ♥10, ♠9 | pair
♣9, ♣7, ♥Q, ♦9, ♠9 | three of a kind
♣9, ♣7, ♥Q, ♦9, ♠6 | pair
♣9, ♣7, ♥Q, ♠9, ♠6 | pair
♣9, ♣7, ♦3, ♥10, ♦9 | pair
♣9, ♣7, ♦3, ♥10, ♠9 | pair
♣9, ♣7, ♦3, ♦9, ♠9 | three of a kind
♣9, ♣7, ♦3, ♦9, ♠6 | pair
♣9, ♣7, ♦3, ♠9, ♠6 | pair
♣9, ♣7, ♥10, ♦9, ♠9 | three of a kind
♣9, ♣7, ♥10, ♦9, ♠6 | pair
♣9, ♣7, ♥10, ♠9, ♠6 | pair
♣9, ♣7, ♦9, ♠9, ♠6 | three of a kind
♣9, ♥Q, ♦3, ♥10, ♦9 | pair
♣9, ♥Q, ♦3, ♥10, ♠9 | pair
♣9, ♥Q, ♦3, ♦9, ♠9 | three of a kind
♣9, ♥Q, ♦3, ♦9, ♠6 | pair
♣9, ♥Q, ♦3, ♠9, ♠6 | pair
♣9, ♥Q, ♥10, ♦9, ♠9 | three of a kind
♣9, ♥Q, ♥10, ♦9, ♠6 | pair
♣9, ♥Q, ♥10, ♠9, ♠6 | pair
♣9, ♥Q, ♦9, ♠9, ♠6 | three of a kind
♣9, ♦3, ♥10, ♦9, ♠9 | three of a kind
♣9, ♦3, ♥10, ♦9, ♠6 | pair
♣9, ♦3, ♥10, ♠9, ♠6 | pair
♣9, ♦3, ♦9, ♠9, ♠6 | three of a kind
♣9, ♥10, ♦9, ♠9, ♠6 | three of a kind
♦7, ♦K, ♣3, ♣7, ♥Q | pair
♦7, ♦K, ♣3, ♣7, ♦3 | two pairs
♦7, ♦K, ♣3, ♣7, ♥10 | pair
♦7, ♦K, ♣3, ♣7, ♦9 | pair
♦7, ♦K, ♣3, ♣7, ♠9 | pair
♦7, ♦K, ♣3, ♣7, ♠6 | pair
♦7, ♦K, ♣3, ♥Q, ♦3 | pair
♦7, ♦K, ♣3, ♦3, ♥10 | pair
♦7, ♦K, ♣3, ♦3, ♦9 | pair
♦7, ♦K, ♣3, ♦3, ♠9 | pair
♦7, ♦K, ♣3, ♦3, ♠6 | pair
♦7, ♦K, ♣3, ♦9, ♠9 | pair
♦7, ♦K, ♣7, ♥Q, ♦3 | pair
♦7, ♦K, ♣7, ♥Q, ♥10 | pair
♦7, ♦K, ♣7, ♥Q, ♦9 | pair
♦7, ♦K, ♣7, ♥Q, ♠9 | pair
♦7, ♦K, ♣7, ♥Q, ♠6 | pair
♦7, ♦K, ♣7, ♦3, ♥10 | pair
♦7, ♦K, ♣7, ♦3, ♦9 | pair
♦7, ♦K, ♣7, ♦3, ♠9 | pair
♦7, ♦K, ♣7, ♦3, ♠6 | pair
♦7, ♦K, ♣7, ♥10, ♦9 | pair
♦7, ♦K, ♣7, ♥10, ♠9 | pair
♦7, ♦K, ♣7, ♥10, ♠6 | pair
♦7, ♦K, ♣7, ♦9, ♠9 | two pairs
♦7, ♦K, ♣7, ♦9, ♠6 | pair
♦7, ♦K, ♣7, ♠9, ♠6 | pair
♦7, ♦K, ♥Q, ♦9, ♠9 | pair
♦7, ♦K, ♦3, ♦9, ♠9 | pair
♦7, ♦K, ♥10, ♦9, ♠9 | pair
♦7, ♦K, ♦9, ♠9, ♠6 | pair
♦7, ♣3, ♣7, ♥Q, ♦3 | two pairs
♦7, ♣3, ♣7, ♥Q, ♥10 | pair
♦7, ♣3, ♣7, ♥Q, ♦9 | pair
♦7, ♣3, ♣7, ♥Q, ♠9 | pair
♦7, ♣3, ♣7, ♥Q, ♠6 | pair
♦7, ♣3, ♣7, ♦3, ♥10 | two pairs
♦7, ♣3, ♣7, ♦3, ♦9 | two pairs
♦7, ♣3, ♣7, ♦3, ♠9 | two pairs
♦7, ♣3, ♣7, ♦3, ♠6 | two pairs
♦7, ♣3, ♣7, ♥10, ♦9 | pair
♦7, ♣3, ♣7, ♥10, ♠9 | pair
♦7, ♣3, ♣7, ♥10, ♠6 | pair
♦7, ♣3, ♣7, ♦9, ♠9 | two pairs
♦7, ♣3, ♣7, ♦9, ♠6 | pair
♦7, ♣3, ♣7, ♠9, ♠6 | pair
♦7, ♣3, ♥Q, ♦3, ♥10 | pair
♦7, ♣3, ♥Q, ♦3, ♦9 | pair
♦7, ♣3, ♥Q, ♦3, ♠9 | pair
♦7, ♣3, ♥Q, ♦3, ♠6 | pair
♦7, ♣3, ♥Q, ♦9, ♠9 | pair
♦7, ♣3, ♦3, ♥10, ♦9 | pair
♦7, ♣3, ♦3, ♥10, ♠9 | pair
♦7, ♣3, ♦3, ♥10, ♠6 | pair
♦7, ♣3, ♦3, ♦9, ♠9 | two pairs
♦7, ♣3, ♦3, ♦9, ♠6 | pair
♦7, ♣3, ♦3, ♠9, ♠6 | pair
♦7, ♣3, ♥10, ♦9, ♠9 | pair
♦7, ♣3, ♦9, ♠9, ♠6 | pair
♦7, ♣7, ♥Q, ♦3, ♥10 | pair
♦7, ♣7, ♥Q, ♦3, ♦9 | pair
♦7, ♣7, ♥Q, ♦3, ♠9 | pair
♦7, ♣7, ♥Q, ♦3, ♠6 | pair
♦7, ♣7, ♥Q, ♥10, ♦9 | pair
♦7, ♣7, ♥Q, ♥10, ♠9 | pair
♦7, ♣7, ♥Q, ♥10, ♠6 | pair
♦7, ♣7, ♥Q, ♦9, ♠9 | two pairs
♦7, ♣7, ♥Q, ♦9, ♠6 | pair
♦7, ♣7, ♥Q, ♠9, ♠6 | pair
♦7, ♣7, ♦3, ♥10, ♦9 | pair
♦7, ♣7, ♦3, ♥10, ♠9 | pair
♦7, ♣7, ♦3, ♥10, ♠6 | pair
♦7, ♣7, ♦3, ♦9, ♠9 | two pairs
♦7, ♣7, ♦3, ♦9, ♠6 | pair
♦7, ♣7, ♦3, ♠9, ♠6 | pair
♦7, ♣7, ♥10, ♦9, ♠9 | two pairs
♦7, ♣7, ♥10, ♦9, ♠6 | pair
♦7, ♣7, ♥10, ♠9, ♠6 | pair
♦7, ♣7, ♦9, ♠9, ♠6 | two pairs
♦7, ♥Q, ♦3, ♦9, ♠9 | pair
♦7, ♥Q, ♥10, ♦9, ♠9 | pair
♦7, ♥Q, ♦9, ♠9, ♠6 | pair
♦7, ♦3, ♥10, ♦9, ♠9 | pair
♦7, ♦3, ♦9, ♠9, ♠6 | pair
♦7, ♥10, ♦9, ♠9, ♠6 | pair
♦K, ♣3, ♣7, ♥Q, ♦3 | pair
♦K, ♣3, ♣7, ♦3, ♥10 | pair
♦K, ♣3, ♣7, ♦3, ♦9 | pair
♦K, ♣3, ♣7, ♦3, ♠9 | pair
♦K, ♣3, ♣7, ♦3, ♠6 | pair
♦K, ♣3, ♣7, ♦9, ♠9 | pair
♦K, ♣3, ♥Q, ♦3, ♥10 | pair
♦K, ♣3, ♥Q, ♦3, ♦9 | pair
♦K, ♣3, ♥Q, ♦3, ♠9 | pair
♦K, ♣3, ♥Q, ♦3, ♠6 | pair
♦K, ♣3, ♥Q, ♦9, ♠9 | pair
♦K, ♣3, ♦3, ♥10, ♦9 | pair
♦K, ♣3, ♦3, ♥10, ♠9 | pair
♦K, ♣3, ♦3, ♥10, ♠6 | pair
♦K, ♣3, ♦3, ♦9, ♠9 | two pairs
♦K, ♣3, ♦3, ♦9, ♠6 | pair
♦K, ♣3, ♦3, ♠9, ♠6 | pair
♦K, ♣3, ♥10, ♦9, ♠9 | pair
♦K, ♣3, ♦9, ♠9, ♠6 | pair
♦K, ♣7, ♥Q, ♦9, ♠9 | pair
♦K, ♣7, ♦3, ♦9, ♠9 | pair
♦K, ♣7, ♥10, ♦9, ♠9 | pair
♦K, ♣7, ♦9, ♠9, ♠6 | pair
♦K, ♥Q, ♦3, ♦9, ♠9 | pair
♦K, ♥Q, ♥10, ♦9, ♠9 | pair
♦K, ♥Q, ♦9, ♠9, ♠6 | pair
♦K, ♦3, ♥10, ♦9, ♠9 | pair
♦K, ♦3, ♦9, ♠9, ♠6 | pair
♦K, ♥10, ♦9, ♠9, ♠6 | pair
♣3, ♣7, ♥Q, ♦3, ♥10 | pair
♣3, ♣7, ♥Q, ♦3, ♦9 | pair
♣3, ♣7, ♥Q, ♦3, ♠9 | pair
♣3, ♣7, ♥Q, ♦3, ♠6 | pair
♣3, ♣7, ♥Q, ♦9, ♠9 | pair
♣3, ♣7, ♦3, ♥10, ♦9 | pair
♣3, ♣7, ♦3, ♥10, ♠9 | pair
♣3, ♣7, ♦3, ♥10, ♠6 | pair
♣3, ♣7, ♦3, ♦9, ♠9 | two pairs
♣3, ♣7, ♦3, ♦9, ♠6 | pair
♣3, ♣7, ♦3, ♠9, ♠6 | pair
♣3, ♣7, ♥10, ♦9, ♠9 | pair
♣3, ♣7, ♦9, ♠9, ♠6 | pair
♣3, ♥Q, ♦3, ♥10, ♦9 | pair
♣3, ♥Q, ♦3, ♥10, ♠9 | pair
♣3, ♥Q, ♦3, ♥10, ♠6 | pair
♣3, ♥Q, ♦3, ♦9, ♠9 | two pairs
♣3, ♥Q, ♦3, ♦9, ♠6 | pair
♣3, ♥Q, ♦3, ♠9, ♠6 | pair
♣3, ♥Q, ♥10, ♦9, ♠9 | pair
♣3, ♥Q, ♦9, ♠9, ♠6 | pair
♣3, ♦3, ♥10, ♦9, ♠9 | two pairs
♣3, ♦3, ♥10, ♦9, ♠6 | pair
♣3, ♦3, ♥10, ♠9, ♠6 | pair
♣3, ♦3, ♦9, ♠9, ♠6 | two pairs
♣3, ♥10, ♦9, ♠9, ♠6 | pair
♣7, ♥Q, ♦3, ♦9, ♠9 | pair
♣7, ♥Q, ♥10, ♦9, ♠9 | pair
♣7, ♥Q, ♦9, ♠9, ♠6 | pair
♣7, ♦3, ♥10, ♦9, ♠9 | pair
♣7, ♦3, ♦9, ♠9, ♠6 | pair
♣7, ♥10, ♦9, ♠9, ♠6 | pair
♥Q, ♦3, ♥10, ♦9, ♠9 | pair
♥Q, ♦3, ♦9, ♠9, ♠6 | pair
♥Q, ♥10, ♦9, ♠9, ♠6 | pair
♦3, ♥10, ♦9, ♠9, ♠6 | pair
